domain,dimension,legal_requirement,observed_behaviour,policy_excerpt,human_verdict,annotator_notes
www.independent.ie,pre_consent_tracking,"[GDPR — Article/Section 7] Article 7 Conditions for consent  1.   Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.  2.   If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.  3.   The data subject shall have the right to withdraw","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  agnoplay.com, aswpsdkus.com, cloudflare.com, cxense.com, doubleclick.net, google-analytics.com …
tracker requests: 15
  cxense.com, doubleclick.net, google-analytics.com, googlesyndication.com, pbstck.com, taboola.com
fingerprinting API calls: 4
  RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a","analytics software provided by a third party generates an anonymous analytics cookie. These cookies can tell us whether you have visited the Site before. Your browser will tell us if you have these cookies, and if you do not, we generate new ones. This allows us to track how many individual unique users we have, and how often they visit the Site. Unless you are signed into our Site, these cookies cannot be used to identify individuals; they are used for statistical purposes only. If you are logged in, we will also know the details you gave to us for this, such as username and email address. This allows us to better tailor our site for our registered users. We use inhouse and third-party analytics cookies (GLiTR), our Inhouse tracker tracks digital reading behaviour These analytics tools run on most sites across the web. If you wish to opt out of analytics tracking, you must do so on t",,
www.independent.ie,tracking_without_consent,"[PECR — Article/Section 6] 6. — (1)  Regulation 6(1) does not prevent a person storing information, or gaining access to information stored, in the terminal equipment of a subscriber or user if—  (a) the person provides an information society service by means of a website,  (b) the sole purpose of the storage or access is—  (i) to enable the way the website appears or functions when displayed on, or accessed by, the terminal equipment to adapt to the preferences of the subscriber or user, or  (ii) to otherwise enable an enhancement of the appearance or functionality of the website when displayed on, or accessed by, the terminal equipment,  (c) the subscriber or user is provided with clear an","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  agnoplay.com, aswpsdkus.com, cloudflare.com, cxense.com, doubleclick.net, google-analytics.com …
tracker requests: 15
  cxense.com, doubleclick.net, google-analytics.com, googlesyndication.com, pbstck.com, taboola.com
fingerprinting API calls: 4
  RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a","analytics software provided by a third party generates an anonymous analytics cookie. These cookies can tell us whether you have visited the Site before. Your browser will tell us if you have these cookies, and if you do not, we generate new ones. This allows us to track how many individual unique users we have, and how often they visit the Site. Unless you are signed into our Site, these cookies cannot be used to identify individuals; they are used for statistical purposes only. If you are logged in, we will also know the details you gave to us for this, such as username and email address. This allows us to better tailor our site for our registered users. We use inhouse and third-party analytics cookies (GLiTR), our Inhouse tracker tracks digital reading behaviour These analytics tools run on most sites across the web. If you wish to opt out of analytics tracking, you must do so on t",,
www.independent.ie,disclosure_of_third_parties,"[GDPR — Article/Section 13] Article 13 Information to be provided where personal data are collected from the data subject  1.   Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:  (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative;  (b)  the contact details of the data protection officer, where applicable;  (c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;  (d)  where the processing is based","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  agnoplay.com, aswpsdkus.com, cloudflare.com, cxense.com, doubleclick.net, google-analytics.com …
tracker requests: 15
  cxense.com, doubleclick.net, google-analytics.com, googlesyndication.com, pbstck.com, taboola.com
fingerprinting API calls: 4
  RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a; RTCPeerConnection created (WebRTC / IP leak risk) accessed a","t in and use of the various areas of the Site. We may partner with or receive services from third parties which you can visit from our Site. We may also embed external content and features from such third parties within our Site (e.g. social media networks such as LinkedIn, Facebook and Twitter). We do not control the content or links that appear on these sites and are not responsible for the practices employed by websites linked to or from our Site. In addition, these sites or services, including their content and links, may be constantly changing. These sites and services may have their own privacy statements and customer service policies. Browsing and interaction on any other website, including websites which have a link to our Site, is subject to that website’s own terms and policies. ## Changes to our Cookie Policy: We can change this Cookie Policy at any time. If we make materi",,
www.irishtimes.com,pre_consent_tracking,"[GDPR — Article/Section 7] Article 7 Conditions for consent  1.   Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.  2.   If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.  3.   The data subject shall have the right to withdraw","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  arc-cdn.net, arc.pub, arcpublishing.com, cookielaw.org, e-pages.dk, foreca.net …
tracker requests: 1
  permutive.app
fingerprinting API calls: 0","r open access content. These cookies are not used for advertising or cross-site tracking. Session cookies are deleted when you close your browser. Persistent cookies expire after a defined period. If consent is withdrawn, these cookies will no longer be used and will expire in line with their lifecycle. ### Functional cookies These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or third party providers. We may embed video, audio, tweets and other content in our articles and pages. We do not control which cookies are set by third parties or how the cookie information is used. If you do not allow these cookies then some or all of these services may not function properly. Some third party functional cookies may track your browser across other sites and build up a profile of your interests. This may impact the content and messages yo",,
www.irishtimes.com,tracking_without_consent,"[PECR — Article/Section 6] 6. — (1)  Regulation 6(1) does not prevent a person storing information, or gaining access to information stored, in the terminal equipment of a subscriber or user if—  (a) the person provides an information society service by means of a website,  (b) the sole purpose of the storage or access is—  (i) to enable the way the website appears or functions when displayed on, or accessed by, the terminal equipment to adapt to the preferences of the subscriber or user, or  (ii) to otherwise enable an enhancement of the appearance or functionality of the website when displayed on, or accessed by, the terminal equipment,  (c) the subscriber or user is provided with clear an","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  arc-cdn.net, arc.pub, arcpublishing.com, cookielaw.org, e-pages.dk, foreca.net …
tracker requests: 1
  permutive.app
fingerprinting API calls: 0","rs. These cookies may process device and behavioural data to determine whether to show a paywall, registration prompt, or open access content. These cookies are not used for advertising or cross-site tracking. Session cookies are deleted when you close your browser. Persistent cookies expire after a defined period. If consent is withdrawn, these cookies will no longer be used and will expire in line with their lifecycle. ### Functional cookies These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or third party providers. We may embed video, audio, tweets and other content in our articles and pages. We do not control which cookies are set by third parties or how the cookie information is used. If you do not allow these cookies then some or all of these services may not function properly. Some third party functional cookies may tra",,
www.irishtimes.com,disclosure_of_third_parties,"[GDPR — Article/Section 13] Article 13 Information to be provided where personal data are collected from the data subject  1.   Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:  (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative;  (b)  the contact details of the data protection officer, where applicable;  (c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;  (d)  where the processing is based","consent UI present: True
profiling cookies before consent: 0
third-party domains: 15
  arc-cdn.net, arc.pub, arcpublishing.com, cookielaw.org, e-pages.dk, foreca.net …
tracker requests: 1
  permutive.app
fingerprinting API calls: 0","ionality and personalisation. They may be set by us or third party providers. We may embed video, audio, tweets and other content in our articles and pages. We do not control which cookies are set by third parties or how the cookie information is used. If you do not allow these cookies then some or all of these services may not function properly. Some third party functional cookies may track your browser across other sites and build up a profile of your interests. This may impact the content and messages you see on other sites you visit. ### Performance cookies Analytical cookies help us to understand how visitors gain access to or read our content and interact with our Services. We collect statistical information about our visitors, such as whether they have visited the site before and the pages they view. We use these cookies to determine the kind of content and services our visitors",,
www.rte.ie,pre_consent_tracking,"[GDPR — Article/Section 7] Article 7 Conditions for consent  1.   Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.  2.   If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.  3.   The data subject shall have the right to withdraw","consent UI present: True
profiling cookies before consent: 0
third-party domains: 8
  ati-host.net, aticdn.net, cloudflare.com, cookielaw.org, gigya.com, googleapis.com …
tracker requests: 1
  aticdn.net
fingerprinting API calls: 0","--- title: Policies and guidelines – About RTÉ category: cookie_policy source_url: https://www.rte.ie/cookies domain: www.rte.ie scraped_at: 2026-08-12T11:36:02.416284+00:00 --- # Policies and guidelines – About RTÉ > **Source:** https://www.rte.ie/cookies > **Scraped:** 2026-08-12T11:36:02.416284+00:00 --- **RTÉ and the Dublin Central & Galway West bye-elections** #### – **Coverage 2026** RTÉ provides comprehensive coverage of elections, appropriate to the type of election in question. Fairness will be achieved across the totality of RTÉ’s bye-election coverage. [This document](https://about.rte.ie/wp-content/uploads/2026/04/RTE-and-the-Dublin-Central-Galway-West-bye-elections-2026.pdf) contains: Information on the legal and regulatory background regarding election coverage RTÉ’s coverage plans for these bye-elections The considerations guiding the RTÉ Election Steering Group",,
www.rte.ie,tracking_without_consent,"[PECR — Article/Section 6] 6. — (1)  Regulation 6(1) does not prevent a person storing information, or gaining access to information stored, in the terminal equipment of a subscriber or user if—  (a) the person provides an information society service by means of a website,  (b) the sole purpose of the storage or access is—  (i) to enable the way the website appears or functions when displayed on, or accessed by, the terminal equipment to adapt to the preferences of the subscriber or user, or  (ii) to otherwise enable an enhancement of the appearance or functionality of the website when displayed on, or accessed by, the terminal equipment,  (c) the subscriber or user is provided with clear an","consent UI present: True
profiling cookies before consent: 0
third-party domains: 8
  ati-host.net, aticdn.net, cloudflare.com, cookielaw.org, gigya.com, googleapis.com …
tracker requests: 1
  aticdn.net
fingerprinting API calls: 0","--- title: Policies and guidelines – About RTÉ category: cookie_policy source_url: https://www.rte.ie/cookies domain: www.rte.ie scraped_at: 2026-08-12T11:36:02.416284+00:00 --- # Policies and guidelines – About RTÉ > **Source:** https://www.rte.ie/cookies > **Scraped:** 2026-08-12T11:36:02.416284+00:00 --- **RTÉ and the Dublin Central & Galway West bye-elections** #### – **Coverage 2026** RTÉ provides comprehensive coverage of elections, appropriate to the type of election in question. Fairness will be achieved across the totality of RTÉ’s bye-election coverage. [This document](https://about.rte.ie/wp-content/uploads/2026/04/RTE-and-the-Dublin-Central-Galway-West-bye-elections-2026.pdf) contains: Information on the legal and regulatory background regarding election coverage RTÉ’s coverage plans for these bye-elections The considerations guiding the RTÉ Election Steering Group",,
www.rte.ie,disclosure_of_third_parties,"[GDPR — Article/Section 13] Article 13 Information to be provided where personal data are collected from the data subject  1.   Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:  (a)  the identity and the contact details of the controller and, where applicable, of the controller's representative;  (b)  the contact details of the data protection officer, where applicable;  (c)  the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;  (d)  where the processing is based","consent UI present: True
profiling cookies before consent: 0
third-party domains: 8
  ati-host.net, aticdn.net, cloudflare.com, cookielaw.org, gigya.com, googleapis.com …
tracker requests: 1
  aticdn.net
fingerprinting API calls: 0","s you like, then serve up something you’ll love. We use your info for analytics, which sounds fancy, but really just means you get a better service from us. Some data is shared with carefully vetted third parties, so we can serve you ads about things you might want to try. And remember, the money we make from advertising goes right back into creating more of the shows and services you love. When you’re signed in, we’ll aim to serve recommendations based on what you’ve already watched and enjoyed. We’ll remember who you are, so you can pick up where you left off, on any device. Handy. We’ll remember your preferences too, so you don’t have to turn them on each time. Cause that would be annoying. When you sign up to our marketing emails, you choose what you want to hear about and we make that happen. When you opt in to marketing ads, you get to find out about your favourite shows and liv",,
www.thejournal.ie,pre_consent_tracking,"[GDPR — Article/Section 7] Article 7 Conditions for consent  1.   Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.  2.   If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.  3.   The data subject shall have the right to withdraw","consent UI present: True
profiling cookies before consent: 2
  gckp (cxense.com, 365d); gckp (cxense.com, 365d)
third-party domains: 22
  acast.com, bugsnag.com, cloudfront.net, cookielaw.org, cxense.com, doubleclick.net …
tracker requests: 12
  bugsnag.com, cloudfront.net, cxense.com, doubleclick.net, google-analytics.com
fingerprinting API calls: 0",NO POLICY RETRIEVED,,
